Chemical_Formula,Ag,Au,Mixing_Parameter,BCM_CE_eV,SE_Energy_eV,BCM_EE_eV,
Ag194Au115,194,115,0.140826873,-3.027368141,-49.30768827,-0.0543449,49.30768827
Ag195Au114,195,114,0.144702842,-3.024813891,-49.31631679,-0.054321009,49.31631679
Ag196Au113,196,113,0.148578811,-3.022106201,-49.305323,-0.054143676,49.305323
Ag197Au112,197,112,0.147286822,-3.019708936,-49.304484,-0.054276768,49.304484
Ag198Au111,198,111,0.151162791,-3.017154686,-49.310574,-0.054252877,49.310574
Ag199Au110,199,110,0.15503876,-3.014446996,-49.302928,-0.054075544,49.302928
Ag200Au109,200,109,0.15503876,-3.011663824,-49.301685,-0.05382273,49.301685
Ag201Au108,201,108,0.157622739,-3.008750192,-49.293028,-0.053439455,49.293028
Ag202Au107,202,107,0.157622739,-3.00596702,-49.292388,-0.053186642,49.292388
Ag203Au106,203,106,0.160206718,-3.003053388,-49.284401,-0.052803367,49.284401
Ag204Au105,204,105,0.157622739,-3.000067444,-49.280971,-0.052347781,49.280971
Ag205Au104,205,104,0.162790698,-2.997356583,-49.27622491,-0.052167278,49.27622491
Ag206Au103,206,103,0.165374677,-2.994442951,-49.300863,-0.051784003,49.300863
Ag207Au102,207,102,0.157622739,-2.992258854,-49.323126,-0.052130264,49.323126
Ag208Au101,208,101,0.149870801,-2.990074757,-49.346527,-0.052476525,49.346527
Ag209Au100,209,100,0.15245478,-2.987161124,-49.370503,-0.05209325,49.370503
Ag210Au99,210,99,0.144702842,-2.984977027,-49.394078,-0.052439511,49.394078
Ag211Au98,211,98,0.147286822,-2.982063394,-49.420454,-0.052056236,49.420454
Ag212Au97,212,97,0.139534884,-2.979879298,-49.444612,-0.052402496,49.444612
Ag213Au96,213,96,0.142118863,-2.976965665,-49.471161,-0.052019221,49.471161
Ag214Au95,214,95,0.134366925,-2.974781568,-49.494934,-0.052365482,49.494934
Ag215Au94,215,94,0.136950904,-2.971867935,-49.523032,-0.051982207,49.523032
Ag216Au93,216,93,0.129198966,-2.969683838,-49.546112,-0.052328468,49.546112
Ag217Au92,217,92,0.121447028,-2.967499741,-49.570049,-0.052674729,49.570049
Ag218Au91,218,91,0.124031008,-2.964586109,-49.600016,-0.052291454,49.600016
Ag219Au90,219,90,0.124031008,-2.961906783,-49.626733,-0.052142486,49.626733
Ag220Au89,220,89,0.124031008,-2.959227457,-49.653987,-0.051993518,49.653987
Ag221Au88,221,88,0.124031008,-2.956548131,-49.681269,-0.051844549,49.681269
Ag222Au87,222,87,0.124031008,-2.953868805,-49.70869,-0.051695581,49.70869
Ag223Au86,223,86,0.124031008,-2.951189479,-49.73614,-0.051546613,49.73614
Ag224Au85,224,85,0.124031008,-2.948510153,-49.764037,-0.051397645,49.764037
Ag225Au84,225,84,0.136950904,-2.945074676,-49.794601,-0.050492525,49.794601
Ag226Au83,226,83,0.144702842,-2.941900121,-49.825199,-0.049848328,49.825199
Ag227Au82,227,82,0.15245478,-2.938725566,-49.856162,-0.049204131,49.856162
Ag228Au81,228,81,0.165374677,-2.935290088,-49.887325,-0.048299011,49.887325
Ag229Au80,229,80,0.167958656,-2.932546262,-49.931258,-0.048085543,49.931258
Ag230Au79,230,79,0.173126615,-2.929671975,-49.983101,-0.047741613,49.983101
Ag231Au78,231,78,0.165374677,-2.927619799,-50.03884,-0.048219795,50.03884
Ag232Au77,232,77,0.170542636,-2.924745512,-50.091268,-0.047875866,50.091268
Ag233Au76,233,76,0.175710594,-2.921871225,-50.144056,-0.047531936,50.144056
Ag234Au75,234,75,0.175710594,-2.919257859,-50.200781,-0.047448929,50.200781
Ag235Au74,235,74,0.180878553,-2.916383572,-50.253637,-0.047104999,50.253637
Ag236Au73,236,73,0.178294574,-2.914070474,-50.306505,-0.047322259,50.306505
Ag237Au72,237,72,0.183462532,-2.911196187,-50.359398,-0.04697833,50.359398
Ag238Au71,238,71,0.183462532,-2.908752628,-50.423508,-0.047065129,50.423508
Ag239Au70,239,70,0.188630491,-2.905878341,-50.478221,-0.046721199,50.478221
Ag240Au69,240,69,0.19379845,-2.903004054,-50.531499,-0.046377269,50.531499
Ag241Au68,241,68,0.198966408,-2.900129766,-50.584604,-0.04603334,50.584604
